n,f,ap,ae,H,D,z,chatter_label
0.4,0.20000000298023224,1.0,1.0,0.19084999084472656,0.5,0.6666666666666666,0.011896825907063431
0.4,0.20000000298023224,1.0,1.0,0.19084999084472656,0.5,0.6666666666666666,0.011611262245541643
0.4,0.20000000298023224,1.0,1.0,0.19084999084472656,0.5,0.6666666666666666,0.013913775892217076
0.4,0.20000000298023224,1.0,1.0,0.19084999084472656,0.5,0.6666666666666666,0.19527811453414315
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.010196364579690165
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.010323558034968388
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.008688130268327363
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.010068695299517308
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.010181203233768468
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.00924240503872527
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.00935226636633233
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.009924667176057259
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.01060201586081914
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.010241751505891518
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.00996124209073048
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.01035879754958175
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.010387688822904436
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.010150790650267121
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.010314453218039279
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.010588276433036505
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.010716178479957534
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.01098082093974571
0.4,0.20000000298023224,1.0,1.0,0.19165000915527344,0.5,0.6666666666666666,0.011075070557478707
